data,Índice de Desemprego
2012-01-01,5.0
2012-04-01,4.8
2012-07-01,4.5
2012-10-01,4.3
2013-01-01,5.0
2013-04-01,4.7
2013-07-01,4.4
2013-10-01,3.9
2014-01-01,4.5
2014-04-01,4.3
2014-07-01,4.3
2014-10-01,4.1
2015-01-01,5.0
2015-04-01,5.3
2015-07-01,5.7
2015-10-01,5.7
2016-01-01,7.0
2016-04-01,7.2
2016-07-01,7.5
2016-10-01,7.6
2017-01-01,8.7
2017-04-01,8.3
2017-07-01,7.9
2017-10-01,7.5
2018-01-01,8.4
2018-04-01,7.9
2018-07-01,7.6
2018-10-01,7.4
2019-01-01,8.1
2019-04-01,7.7
2019-07-01,7.6
2019-10-01,7.0
2020-01-01,7.8
2020-04-01,7.8
2020-07-01,8.6
2020-10-01,8.4
2021-01-01,8.9
2021-04-01,8.6
2021-07-01,7.8
2021-10-01,7.0
2022-01-01,6.9
2022-04-01,5.8
2022-07-01,5.5
2022-10-01,4.9
2023-01-01,5.4
2023-04-01,5.0
2023-07-01,4.8
2023-10-01,4.6
2024-01-01,4.9
2024-04-01,4.3
